Time_Accel;AccelX;AccelY;AccelZ
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:127;0.17238252;9.519346;-0.45968673
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:243;-0.4213795;10.228029;-0.7278373
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
10:25:29:345;0.6703765;10.093954;-0.7469909
