Time_Biotrace;Time_Accel;AccelX;AccelY;AccelZ
11:31:34:976;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:34:984;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:34:992;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:000;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:007;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:015;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:023;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:031;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:039;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:046;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:054;11:31:34:939;-1.2066777;12.679692;-3.0454245
11:31:35:062;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:070;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:078;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:085;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:093;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:101;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:109;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:117;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:125;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:132;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:140;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:148;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:156;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:164;11:31:35:056;-0.9768343;10.898406;-0.49799395
11:31:35:171;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:179;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:187;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:195;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:203;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:210;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:218;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:226;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:234;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:242;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:250;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:257;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:265;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:273;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:281;11:31:35:165;-0.6512229;8.350976;-0.17238252
11:31:35:289;11:31:35:287;-1.2066777;9.078813;0.36391866
11:31:35:296;11:31:35:287;-1.2066777;9.078813;0.36391866
11:31:35:304;11:31:35:287;-1.2066777;9.078813;0.36391866
11:31:35:312;11:31:35:287;-1.2066777;9.078813;0.36391866
11:31:35:320;11:31:35:287;-1.2066777;9.078813;0.36391866
